ID,frequency,temperature,population,sex,year
Sm6,338.9700231,29.3,S,Male,2015
Sm7,355.0724638,29.4,S,Male,2015
Sm10,353.082466,26.5,S,Male,2015
Sm15,343.725643,26.8,S,Male,2015
Sm25,374.6813934,27,S,Male,2015
Sm32,322.1329438,24.7,S,Male,2015
Sm37,340.8037094,27.2,S,Male,2015
Sm39,342.3913043,27.5,S,Male,2015
Sm43,343.1906615,27.2,S,Male,2015
Sm45,335.6164384,27.2,S,Male,2015
Sm56,318.6416185,22.5,S,Male,2015
Sm59,378.8659794,31.3,S,Male,2015
Sm70,331.8284424,25.1,S,Male,2015
Sm71,333.5854766,25.5,S,Male,2015
Sm72,319.5652174,25,S,Male,2015
Sm74,329.8429319,25.1,S,Male,2015
Sm79,343.725643,27.2,S,Male,2015
Sm83,336.6412214,27.4,S,Male,2015
Sm86,379.1917455,30.3,S,Male,2015
Sm91,295.7746479,21.6,S,Male,2015
Sm67,368.729097,32.7,S,Male,2015
Sm92,294.5891784,22.1,S,Male,2015
Sm93,316.3558106,24,S,Male,2015
Sm95,312.7659574,24.5,S,Male,2015
Sm96,322.84041,24.8,S,Male,2015
Sm99,320.494186,25.1,S,Male,2015
Sm100,323.5509905,24.5,S,Male,2015
Sm101,356.7961165,30.8,S,Male,2015
Sm104,371.8381113,31.3,S,Male,2015
Sm119,293.608522,21.3,S,Male,2015
Sm120,286.7360208,21.7,S,Male,2015
Sm121,298.1744422,21.6,S,Male,2015
Sm125,421.2034384,34.9,S,Male,2015
Sm132,333.5854766,25.6,S,Male,2015
Sm133,328.8590604,26.2,S,Male,2015
Sm139,367.194005,35.6,S,Male,2015
Sm149,285.0678733,21.3,S,Male,2015
Sm150,287.4837027,21.5,S,Male,2015
Sm163,380.1724138,29.7,S,Male,2015
Sm177,345.8823529,32.3,S,Male,2015
Sm182,384.8167539,33.5,S,Male,2015
Sm185,345.0704225,29.7,S,Male,2015
Sm186,375.9590793,29.3,S,Male,2015
Sm191,332.5791855,30,S,Male,2015
Sm206,318.6416185,23.8,S,Male,2015
Sm209,298.1744422,23.8,S,Male,2015
Sm212,303.0927835,23.6,S,Male,2015
Sm216,310.3448276,24.6,S,Male,2015
Sm219,325.2212389,24.1,S,Male,2015
Sm220,319.1027496,24.3,S,Male,2015
Sm232,342.6573427,27.3,S,Male,2015
Sm234,345.8823529,27.1,S,Male,2015
Sm235,348.6166008,27.2,S,Male,2015
Sm240,338.190184,27.3,S,Male,2015
Sm244,341.0672854,27.2,S,Male,2015
Sm246,391.651865,32.3,S,Male,2015
Sm247,364.4628099,32.5,S,Male,2015
Sm251,317.7233429,24.9,S,Male,2015
Sm252,320.0290276,24.5,S,Male,2015
QG16Temp_F10A_M240,294.7860963,21.4,S,Male,2016
QG16Temp_F11A_M122,309.9086437,24.7,S,Male,2016
QG16Temp_F12A_M26,352.5179856,27.1,S,Male,2016
QG16Temp_F14A_M254,353.9325843,30.6,S,Male,2016
QG16Temp_F15B_M247,382.8125,33.9,S,Male,2016
QG16Temp_F16A_M150,311.0014104,30.9,S,Male,2016
QG16Temp_F18A_M71a,306.4628214,24.1,S,Male,2016
QG16Temp_F19A_M17,375.3191489,33.1,S,Male,2016
QG16Temp_F20A_M23,350.5564388,27.1,S,Male,2016
QG16Temp_F22A_M81,288.8015717,21.3,S,Male,2016
QG16Temp_F23A_M95,324.0264511,21.3,S,Male,2016
QG16Temp_F27A_M106,329.1044776,25.5,S,Male,2016
QG16Temp_F29A_M49,368.1135225,28.2,S,Male,2016
QG16Temp_F2A_M146A,328.8590604,29.9,S,Male,2016
QG16Temp_F34A_M134A,293.608522,26.7,S,Male,2016
QG16Temp_F35A_M62,392.69813,33.5,S,Male,2016
QG16Temp_F38A_M76a,305.401662,21.4,S,Male,2016
QG16Temp_F39A_M55,347.7917981,27.5,S,Male,2016
QG16Temp_F41A_M214,361.7719442,30.5,S,Male,2016
QG16Temp_F42A_M137a,297.1698113,24.3,S,Male,2016
QG16Temp_F43A_M57,332.0783133,27.7,S,Male,2016
QG16Temp_F44B_M212,363.8613861,33.2,S,Male,2016
QG16Temp_F47A_M180,360,30.6,S,Male,2016
QG16Temp_F50A_M179,291.6666667,21.5,S,Male,2016
QG16Temp_F50A_M241,315.2251608,33,S,Male,2016
QG16Temp_F52A_M90,263.4408602,21.5,S,Male,2016
QG16Temp_F53A_M199a,302.2618232,24.3,S,Male,2016
QG16Temp_F54B_M12,353.082466,27.1,S,Male,2016
QG16Temp_F55A_M215,364.1618497,30,S,Male,2016
QG16Temp_F56A_M50a,388.2042254,33.9,S,Male,2016
QG16Temp_F8A_M164b,313.2102273,24.3,S,Male,2016
QG16Temp_F9B_M246,370.5882353,33.1,S,Male,2016
F27,301.1435,21.4,S,Female,2015
F32,308.447,24.5,S,Female,2015
F34,380.3615,24.4,S,Female,2015
F49,307.0565,24.5,S,Female,2015
F55,316.682,27.2,S,Female,2015
F56,277.1945,21.6,S,Female,2015
F57,298.9025,21.6,S,Female,2015
F58,287.7785,21.5,S,Female,2015
F74,319.6385,21.7,S,Female,2015
F75,298.997,22,S,Female,2015
F8,361.1105,27,S,Female,2015
F10A_F126,277.9235,21.5,S,Female,2016
F11A_F54,307.4885,24.8,S,Female,2016
F12A_F270,319.5575,27.3,S,Female,2016
F14A_F157,344.438,31.8,S,Female,2016
F15B_F77,377.162,33.5,S,Female,2016
F18A_F24,263.816,21.9,S,Female,2016
F19A_F55,291.0995,24.6,S,Female,2016
F20A_F64,307.07,27.2,S,Female,2016
F22A_F84,372.437,30.5,S,Female,2016
F23B_F72,273.239,21.3,S,Female,2016
F27B_F118,356.5205,33,S,Female,2016
F29B_F257,316.6145,24.3,S,Female,2016
F2A_F184,335.0285,27.4,S,Female,2016
F33A_F196,352.862,30.4,S,Female,2016
F34B_F78,375.2855,33,S,Female,2016
F35B_F212,261.1295,21.8,S,Female,2016
F39B_F102,302.8715,24,S,Female,2016
F41A_F41,369.305,30.9,S,Female,2016
F42B_F278,317.411,27.1,S,Female,2016
F43A_F59,299.78,24.3,S,Female,2016
F44B_F138,262.6685,21.6,S,Female,2016
F47A_F295,347.7455,33.3,S,Female,2016
F50A_F265,341.0225,27.6,S,Female,2016
F52B_F243,366.578,30.3,S,Female,2016
F53B_F250,374.138,32.8,S,Female,2016
F54B_F19,301.211,21,S,Female,2016
F55A_F154,286.7795,23.9,S,Female,2016
F56A_F2,325.889,27.8,S,Female,2016
F57A_F43,347.003,29.9,S,Female,2016
F6B_F294,380.0645,32.5,S,Female,2016
F8A_F188,260.9675,22,S,Female,2016
F9B_F183,317.249,27.4,S,Female,2016
B1,286.178,20.3,B,Male,2017
B2,317.495,24.5,B,Male,2017
B3,316.129,24.5,B,Male,2017
B4,311.221,24.5,B,Male,2017
B5,325.221,24.3,B,Male,2017
B6,330.585,26.1,B,Male,2017
B7,340.015,27.1,B,Male,2017
B8,335.616,26.2,B,Male,2017
B9,334.598,27,B,Male,2017
B10,359.121,30.4,B,Male,2017
B11,399.095,30.6,B,Male,2017
B12,365.975,30.4,B,Male,2017
B13,358.245,32.1,B,Male,2017
B14,394.808,32.9,B,Male,2017
B15,388.889,33.2,B,Male,2017
B16,373.412,33.3,B,Male,2017
B17,345.341,36.3,B,Male,2017
B18,376.923,34.9,B,Male,2017
B19,338.444,27.4,B,Female,2017
B20,402.812,33.6,B,Female,2017
B21,244.9025,21.2,B,Female,2017
B22,340.874,29.6,B,Female,2017
B23,360.746,34.9,B,Female,2017
B24,276.9785,23.9,B,Female,2017
B25,312.065,27,B,Female,2017
B26,371.3435,33.1,B,Female,2017
B27,304.4105,24.8,B,Female,2017
B28,260.6975,21.2,B,Female,2017
B29,362.15,36,B,Female,2017
